"clone_nr","regions","n_regions","clone_types","cell_types","n_cells"
"2411","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Neuroblast, ENS Branch B 2, ENS Progenitor, ENS Branch A, ENS Branch B 1, Proliferative ENS Progenitor 1",15
"2493","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 1, ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch B 2, ENS Branch A",26
"2581","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 1, Proliferative ENS Progenitor 1, ENS Branch B 2, ENS Progenitor, ENS Branch A, ENS Neuroblast, SCP, Proliferative ENS Progenitor 2",80
"2696","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 2, ENS Branch B 1, SCP, ENS Neuroblast, ENS Branch B 2, Proliferative ENS Progenitor 1, ENS Branch A",74
"2742","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","Lymphoid, Myeloid",26
"2852","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor",2
"2861","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1",2
"2863","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 1, Proliferative ENS Progenitor 1, ENS Branch B 2, ENS Branch A, ENS Progenitor, ENC12, ENS Neuroblast, Proliferative ENS Progenitor 2",24
"2992","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Branch B 1, ENS Progenitor, ENS Branch A, Proliferative ENS Progenitor 2, ENS Neuroblast, SCP, Proliferative ENS Progenitor 1, ENC12",64
"3024","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, ENS Neuroblast, SCP, Proliferative ENS Progenitor 2, ENS Branch B 2, ENS Branch B 1, ENS Branch A, ENC12",18
"3028","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Neuroblast, ENS Branch B 2",4
"3029","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 2, Proliferative ENS Progenitor 1, ENS Branch B 1, ENS Neuroblast",4
"3031","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Branch B 2, ENS Progenitor, Proliferative ENS Progenitor 2, ENS Branch B 1, ENS Branch A, ENS Neuroblast",81
"3059","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Branch B 1, ENS Progenitor, ENS Branch A, ENS Neuroblast, ENS Branch B 2, Proliferative ENS Progenitor 2",37
"3060","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2, ENS Branch A, SCP, ENS Neuroblast, ENS Branch B 1, ENS Branch B 2",26
"3067","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor, ENS Branch B 1, ENS Neuroblast, ENC12, Proliferative ENS Progenitor 2, ENS Branch A, Proliferative ENS Progenitor 1, SCP",120
"3091","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor, ENS Branch B 1",3
"3166","E16_stomach, E16_jej_ileum",2,"Multi-cell-type multicellular","ICC, Fibroblast 3 (Adam12)",2
"3178","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","Lymphoid, Myeloid",32
"3297","E16_stomach, E16_colon",2,"Single-cell-type multicellular","Lymphoid, Myeloid",4
"3339","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch B 2, ENS Neuroblast, ENS Progenitor, ENC12, ENS Branch A, Proliferative ENS Progenitor 2, ENS Branch B 1",29
"3354","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 1, ENS Branch A, ENS Branch B 2, ENS Neuroblast, Proliferative ENS Progenitor 2, ENC12, Proliferative ENS Progenitor 1",174
"TOTAL(119 clones)","E16_stomach, E16_colon, E16_jej_ileum",3,"Single-cell-type multicellular, Multi-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2, ENS Branch B 2, ENS Branch B 1, ENS Branch A, ENS Neuroblast, SCP, ENC12, Myeloid, Fibroblast 2 (Fndc1/Dpt), Lymphoid, Endothelial, Fibroblast 1 (Col6a4/Adamdec1), Fibroblast 3 (Adam12), ICC",2236
